"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rnase4"	6.59213216876337e-117	-0.983667012597867	0.231	0.443	1.12679315160672e-112
"Ndufa10"	3.69346804439561e-116	0.371211143544192	0.949	0.716	6.31324492828541e-112
"Hnrnpd"	3.47406731288238e-115	0.384687466110885	0.831	0.542	5.93822325790985e-111
"Snu13"	8.23450223461817e-115	0.373122329690046	0.953	0.732	1.40752346696328e-110
"Gm43305"	9.03009113902036e-115	0.608212075681682	0.588	0.339	1.54351347839275e-110
"Rer1"	9.3953922130481e-114	0.373734061220241	0.908	0.668	1.60595439097631e-109
"Cd24a"	1.24878344548235e-113	-1.27126372900355	0.368	0.529	2.13454554336298e-109
"Ak2"	3.97813865417532e-112	0.37003544646421	0.89	0.621	6.79983240158187e-108
"Glrx5"	5.99079762672074e-112	0.377396065963794	0.888	0.63	1.02400703833538e-107
"Fh1"	2.22972883383379e-110	0.377805322230548	0.857	0.58	3.8112754956721e-106
"Slc12a2"	2.19594797976145e-109	-0.920646597459669	0.321	0.497	3.75353388180625e-105
"Psme2"	1.66998656218304e-106	0.370399163282514	0.956	0.759	2.85450803073947e-102
"Foxa3"	4.22278462518091e-105	-0.635647164274452	0.05	0.256	7.21800575982173e-101
"AY761184"	5.12813752076847e-104	-3.05871602994296	0.884	0.877	8.76552546424954e-100
"Jun"	1.4725599015583e-96	-0.993008969337048	0.204	0.407	2.51704663973361e-92
"Gm14851"	1.64220288114489e-90	-3.04848509148324	0.86	0.852	2.80701738474097e-86
"Ifitm3"	2.80134131387815e-90	-1.30177703999701	0.542	0.608	4.78833270781191e-86
"Krt7"	3.96524150532367e-87	-0.865910428586181	0.362	0.504	6.77778730504975e-83
"Muc2"	2.1896722062123e-86	-3.16164579487299	0.135	0.311	3.74280670207868e-82
"Malat1"	1.22070915581973e-85	-0.839168736868051	0.999	0.989	2.08655816004266e-81
"Gm42418"	1.32215120700251e-82	-0.745136367032851	0.994	0.982	2.2599530581294e-78
"Guca2a"	1.84958928301629e-81	-2.78689725074197	0.196	0.358	3.16150296145974e-77
"Zg16"	2.96387135291209e-81	-5.31944417428712	0.78	0.771	5.06614530353263e-77
"Galnt12"	2.64035395374411e-75	-0.650522424923528	0.094	0.263	4.51315701313481e-71
